well,n_eval,floor,pfx,pfx_proj
00bbac68,5518,17.993766649551137,22.66939794548521,22.5267611791038
00e12e8b,4660,11.830344267752135,8.982830727043085,8.430849604342002
01869cd4,5000,17.69410127076326,13.7281908294492,13.213685524752794
0390d174,4454,8.330478427749775,3.9449254733289427,4.340293961507352
03a935ae,3234,48.998316174860534,2.003703528722949,3.0215854692159416
05948241,3962,5.642278291258075,1.572479379354994,1.4194782180015653
059c8f24,5839,12.311801616095188,6.535485456898821,6.655310002174051
0849b4e2,5428,14.265487027014489,1.5015755476046424,1.538944266997795
084d66f9,4111,10.854309121921627,9.056573754745054,8.429665388254524
08fecf00,5406,4.648073103319937,5.418078879043486,5.690244717861029
0be01c24,4661,7.289870597158528,2.441901342849785,2.1293472460771348
11d0f5ac,4656,22.64062468638776,1.9687761041212335,2.2139153049457234
122bd617,4678,13.030496973181142,6.345992652322506,5.8577235562219
125be846,5864,8.711523567766562,23.48990006863233,23.400150149382373
12f0cd90,5425,10.607722310972733,15.27436115317852,14.912691666169746
13ce113d,3559,12.89497233389787,22.11856311525179,22.152180949688482
14a53cb3,6409,7.305927578428582,4.872021007978961,5.4382871636657155
14ad5efb,5367,6.585246286991164,6.272397881671035,5.443137162534164
177622d7,3430,8.18765042992682,7.033272133248915,6.952984209318296
1b1eba53,4898,73.7325723286036,51.19913598049653,51.07488209332884
1b6ba517,6286,7.136542529669258,34.83723601621909,34.63399417887239
1beca81d,4854,7.820077891708282,5.207765360689229,5.021877947864547
1e30dedf,3996,11.076873960496878,1.3911965609834314,1.5244841025594627
203721ab,5282,11.594958938067354,13.312412973748524,11.802961243431122
20402d71,5789,6.808984340499405,4.592166305055887,4.166759582900328
206b6193,6255,35.05624572250446,29.00968741797651,28.922943401001824
2075c696,4073,26.599934957156407,11.282964290517391,11.069741091033809
25939962,4432,10.808251377254997,5.7585286339778845,5.660035306943152
25fd32b3,3319,2.3098343728001254,1.129871865640163,0.7758372027167586
264feceb,5408,5.456041037398886,2.4583850875889772,2.525908942820673
26d3a96a,4719,9.030830047902123,8.09158056683772,7.88592530143895
272abef3,4148,10.007297997521167,5.765790268895216,5.717051371921728
283269ac,3334,4.7124055191434,28.638954243596014,28.365789181363088
28473855,4833,4.295641524375474,1.7274655793983218,1.6957984223923124
29b24409,5414,13.451148336069483,2.5148618137073178,2.6411304734385572
29de15c8,3770,2.9827193990149574,10.175277704595006,9.857916668556161
2ab29395,2427,11.54833265647666,31.215394149073333,31.176357935086237
2bff06cf,6697,18.436235347656716,13.98918799524319,14.053210292363714
2c0c4a4e,4905,6.741521486058512,0.815964662208152,1.0064294898767252
2cee0cba,5355,7.232132009859061,6.026910146814887,5.98544063011602
2d179ded,6734,8.377628016807602,23.54772217835521,23.255177605473772
2d196986,6071,11.939553796899647,1.9482317426974485,2.4609842458091618
2d35f86d,4838,11.328521182698816,21.808045534657133,21.40734405125163
2ddad940,4973,10.634350749607623,8.411382763185753,8.280085350394456
2e29e833,5295,5.041043083826082,5.7632529761968305,5.221267162779461
2fa01aa6,2818,29.897015967035234,3.533392312408729,2.625409298639463
2fe023be,4424,16.09551258040674,1.5250230258735358,1.4173907383364568
310c71a5,5101,8.837097652654156,9.870990318689659,9.874627140004508
32fe84c9,5959,21.617764495173315,9.56877327544054,7.920098219150104
368fe682,4684,17.52145958188367,16.399107858960992,16.583885283591783
3690a146,4206,6.693932778550061,5.761267712399389,4.739618423422373
373ef48b,3644,7.2329483207430805,2.6583613904693766,2.372270901059824
374be387,8615,7.394861244571331,3.859979087827912,3.7131442019633596
37d36812,4392,21.757803090671036,23.423330863031183,23.479733302790237
398dce4b,3654,9.164611383262688,1.585496984705102,1.521871475920107
3a0af893,3343,17.480916179697722,17.503068112148643,17.337586696281768
3aaa2b30,4669,18.719911575024003,12.984895541023354,13.067389986348179
3ac16ad0,5411,10.402464612078335,4.717019530702065,4.832473094434212
3b21ea64,6645,7.279944008747909,15.08875262963362,14.710172788145336
3c3dbcbc,5045,8.311710998494659,10.399995773528365,8.997722813199502
3df4b19e,4860,8.902699204599276,5.213208001834287,4.84766170405406
3e011332,3535,42.95189264822946,19.466694920555554,18.36315237085422
41fb0192,3198,7.269835241617584,3.251240472454649,3.133697468005209
42669188,4438,22.92218011424274,36.2701551432652,36.261379974622976
445af6c2,5839,32.12524602360827,22.827982465072488,23.066638758280632
4654e7de,5117,11.124594622323631,4.774986137362101,4.871507023614528
466fc788,5670,23.22942212681335,13.498685907213142,12.144790287413807
46d24a09,4470,21.0644266403515,45.14052416713746,45.03684970935515
48c1f673,3406,26.202619345023756,5.156297087810624,5.073317524118636
49dbc14c,3795,5.961264115527164,16.270810079704226,16.150293134402823
4a8ecc0b,5383,13.478221773558168,9.284415474271897,8.467886400756402
4b831d20,6886,10.117427907260263,8.535399351178588,8.695762626613911
4c2208f5,5291,36.62219320280926,11.717995881313666,11.359449116247735
4c3168cf,4350,4.142112354659639,2.946143879989925,2.643895247052786
4ddde4c1,4684,5.142727153024632,5.506803788587159,5.454522561699853
4f69febf,5547,12.201745043165973,1.3932650679673484,1.3768594473094145
4fbe9c06,5795,13.616454296548438,28.231233981922234,27.81080508427759
511e1db0,4121,6.958461757220173,4.934547446870836,4.932840689681498
512943b2,4877,3.4970747522524728,2.574969453892564,2.7400898084568697
516088b7,6059,6.663493386819681,8.76884141516812,8.465664670942347
521a7819,5274,20.326065478274092,4.424690686420493,4.207722997177154
5305524b,4714,19.40543069816383,9.268389401917732,9.30768059868015
5567d551,6125,14.947633214877834,10.290955744565414,10.245318445300617
5663b2b7,5042,15.995051237233431,14.937856487923554,14.51413100406088
58850d2c,5050,14.64719088601917,9.94702602117883,10.23687027720997
5a1a8fd8,4974,18.95607866345528,6.0899327707130215,5.841654372451304
5a5269a9,5879,7.273217586709342,6.216401085044227,4.9135699201271565
5a5d1982,3976,7.239033173200967,6.0730849708255175,6.054820370712365
5a63b5d1,5878,18.381222162110554,27.12374233415944,26.90214429372533
5aa03df7,4929,6.559438408718735,6.594999684181012,6.708973715438107
5cb483ac,3800,6.326385618977432,4.642407241847103,4.0370163130068635
5def1ce5,5838,14.429050638541339,7.14911082005868,7.539970101769767
5eae34a8,4856,7.33424079615688,2.0209668027171572,2.092901799688998
5f4d2a52,5192,57.38681167110693,42.892034615219764,42.75759224104728
5fb1c15f,3546,16.610545719608574,24.776607447469182,24.45810334248003
61f27424,6089,2.8714226939053664,11.392560062486526,11.217455606586633
62569ae3,3827,9.764152402808996,5.3877845843325565,4.974491930496806
65a5466a,4465,11.723424263472127,14.184760390423865,14.3859703320245
67847288,6697,7.48177654935517,12.539997685704677,12.075126915615721
69c1bdad,3391,19.871524318427223,28.14901763638564,28.020899009335448
6a8fa194,3400,15.103545562510547,3.139983099438202,2.1121608877001155
