well_id,corr_lag0,best_lag_ft,overlap_pts
000d7d20,0.8484576609525681,0.5,1041
00bbac68,0.8546186822675377,0.0,1637
00e12e8b,0.7917449179082396,-1.0,1995
015fe0d2,0.8810865533516523,0.0,988
01869cd4,0.7702499448480894,0.0,776
01982c1d,0.9172939130859823,0.0,1536
028d7b28,0.8822387848089588,0.0,1107
02e7fe5a,0.811288580934029,0.0,792
0390d174,0.9667562453815925,0.0,1013
03a935ae,0.8730451120882072,0.0,1292
044af7d1,0.8551819506290889,0.5,1073
0498acab,0.7397417902903037,-4.0,1500
052d64df,0.8651462691479269,0.0,1845
05948241,0.8777289530298215,-1.0,1615
059c8f24,0.8235206150831498,0.0,1447
05a0ee4d,0.7773912153630197,0.5,1565
060ab2b8,0.858512448781377,0.0,934
06df5958,0.5594899080839641,0.0,1142
071d7b45,0.7623359998740667,0.5,803
0849b4e2,0.8642585309556767,0.5,1795
084d66f9,0.7383271727856837,-31.0,1759
08fecf00,0.8026797329196497,0.0,3678
09053135,0.9022241953007054,0.0,1556
09441b8d,0.9193103195946198,0.0,1508
0955cd6c,0.8455068128756953,0.0,2986
09ec2ca9,0.877610185500151,0.5,1624
0a57a29c,0.725427512802931,-1.0,1037
0bbf5e67,0.9883186528700307,0.0,1578
0be01c24,0.8578224760368736,0.0,1526
0c1b160c,0.907790292867022,0.0,1152
0d99f8e4,0.6179234956161701,-2.0,1101
0dc5e64d,0.9116577147294663,0.0,1034
0dc835f3,0.9114145904086526,0.5,502
0dd99dc5,0.7498680354247569,1.0,1394
0e5e560d,0.942733208310251,0.0,1588
109d9d70,0.7602416743600965,-0.25,2557
10a1281a,0.8402829844152027,1.0,1565
10b89021,0.8023196923937038,0.0,758
10be2420,0.9571376608288715,0.0,1708
113011eb,0.6990926234875304,0.0,743
1131525f,0.5975399404870733,0.0,1052
11d0f5ac,0.8913456628790188,0.0,523
12203f2a,0.8570805592802886,-0.5,1616
122bd617,0.9468345766794539,0.0,1912
125be846,0.7774926544645346,0.0,1153
1285a37b,0.7759809125660999,0.5,1759
1295a25b,0.8121048054653821,0.0,1111
12f0cd90,0.8358960285151121,0.0,1084
137d1e44,0.6777262404548202,0.0,1724
13ce113d,0.825562125656622,-2.5,1814
13f598d9,0.8292060810564705,0.0,1296
14a53cb3,0.8835867839491174,-0.5,1626
14ab73fb,0.7720346809735592,0.5,1319
14ad5efb,0.8730858981556306,0.0,1109
14fee784,0.8826677488986697,0.0,1099
153552f5,0.7547162334363743,-6.0,1531
1550491d,0.7601955879254699,0.5,863
155887bb,0.8302521773248841,-0.5,1969
1590af81,0.8659816683354171,0.0,925
15e154a1,0.958184234222671,0.0,2825
1619e2ca,0.8829500128286266,0.0,1361
16e4a047,0.8055975715086148,1.25,3431
173ed841,0.6731700322278238,-10.0,1510
1770d7c6,0.6828994353610819,-0.5,1590
177622d7,0.8608275371393809,0.0,1101
18d24f7b,0.8515728007136778,0.0,1307
19137a89,0.8831955209170225,0.0,965
1944513c,0.827587218043485,-0.5,1216
197f8a5a,0.3316754135600729,-10.0,1807
19871e7f,0.7747242744483136,-0.5,1661
198a5607,0.9419112204685309,0.0,1704
19fb4f7b,0.7952784450103921,0.0,2251
1a518997,0.8009237494051226,0.5,1543
1a68190b,0.6818661296703947,-0.5,1661
1a730ac2,0.7753321343820321,0.5,833
1aaf1da0,0.8507622520158278,-0.5,1497
1b08ed48,0.8833759824428322,0.0,1159
1b1c5372,0.8861161760598728,0.0,1087
1b1eba53,0.7647046561192454,0.0,1867
1b6ba517,0.8348461251366234,0.0,1778
1b82b665,0.8331004532780365,-1.0,1038
1bcb2fcf,0.8099575785130775,0.0,1267
1beca81d,0.8972797825668374,0.0,1220
1d3fbf02,0.7615006151885817,0.0,947
1d78281a,0.8401418706475136,0.0,1731
1e30dedf,0.9310041060492003,0.0,713
1e5e3573,0.8434737936367773,0.25,2926
1f9afacb,0.8831773498159436,0.0,3119
