TVT,GR,Geology
10298.650000000001,110.74000000000001,
10299.150000000001,111.2,
10299.650000000001,109.05,
10300.150000000001,107.04,
10300.650000000001,108.32000000000001,
10301.150000000001,111.37,
10301.650000000001,113.22,
10302.140000000001,112.41,
10302.640000000001,109.37,
10303.140000000001,106.36,
10303.640000000001,105.59,
10304.140000000001,106.68,
10304.640000000001,108.92,
10305.140000000001,111.36,
10305.640000000001,113.41,
10306.140000000001,114.34,
10306.640000000001,112.49000000000001,
10307.140000000001,108.16,
10307.640000000001,105.49000000000001,
10308.140000000001,106.04,
10308.640000000001,107.76,
10309.140000000001,109.22,
10309.640000000001,110.44,
10310.140000000001,111.84,
10310.640000000001,112.63000000000001,
10311.140000000001,111.75,
10311.640000000001,110.10000000000001,
10312.140000000001,109.83,
10312.640000000001,109.71000000000001,
10313.140000000001,108.09,
10313.640000000001,106.67,
10314.140000000001,107.71000000000001,
10314.640000000001,110.0,
10315.140000000001,110.17,
10315.640000000001,108.21000000000001,
10316.140000000001,106.53,
10316.640000000001,106.36,
10317.140000000001,106.39,
10317.640000000001,106.15,
10318.140000000001,106.99000000000001,
10318.640000000001,108.60000000000001,
10319.140000000001,109.25,
10319.640000000001,109.0,
10320.140000000001,108.78,
10320.640000000001,108.78,
10321.140000000001,109.26,
10321.640000000001,109.63000000000001,
10322.140000000001,109.17,
10322.640000000001,109.08,
10323.140000000001,109.4,
10323.640000000001,108.66,
10324.140000000001,106.3,
10324.640000000001,104.02,
10325.140000000001,103.52,
10325.640000000001,105.71000000000001,
10326.140000000001,108.47,
10326.640000000001,109.32000000000001,
10327.140000000001,108.75,
10327.640000000001,108.99000000000001,
10328.140000000001,108.69,
10328.640000000001,107.11,
10329.140000000001,106.36,
10329.640000000001,108.16,
10330.140000000001,110.77,
10330.640000000001,113.15,
10331.140000000001,113.86,
10331.640000000001,112.23,
10332.140000000001,110.92,
10332.640000000001,111.63000000000001,
10333.140000000001,111.99000000000001,
10333.640000000001,109.93,
10334.140000000001,108.03,
10334.640000000001,108.65,
10335.140000000001,110.55,
10335.640000000001,111.57000000000001,
10336.140000000001,112.44,
10336.640000000001,113.93,
10337.140000000001,115.32000000000001,
10337.640000000001,115.79,
10338.140000000001,114.96000000000001,
10338.640000000001,114.17,
10339.140000000001,114.31,
10339.640000000001,115.49000000000001,
10340.140000000001,118.05,
10340.640000000001,120.66,
10341.140000000001,120.97,
10341.640000000001,120.79,
10342.140000000001,122.68,
10342.640000000001,125.02,
10343.140000000001,126.27,
10343.640000000001,127.31,
10344.140000000001,127.87,
10344.640000000001,127.5,
10345.140000000001,127.09,
10345.640000000001,126.85000000000001,
10346.140000000001,126.17,
10346.640000000001,125.09,
10347.140000000001,123.79,
10347.640000000001,125.75,
10348.140000000001,130.46,
10348.640000000001,128.94,
10349.140000000001,118.7,
10349.640000000001,109.7,
10350.140000000001,108.23,
10350.640000000001,110.18,
10351.140000000001,111.79,
10351.640000000001,111.09,
10352.140000000001,108.76,
10352.640000000001,106.27,
10353.140000000001,105.18,
10353.640000000001,105.36,
10354.140000000001,106.87,
10354.640000000001,109.09,
10355.140000000001,111.15,
10355.640000000001,111.74000000000001,
10356.140000000001,110.88000000000001,
10356.640000000001,112.42,
10357.140000000001,113.92,
10357.640000000001,107.48,
10358.140000000001,95.60000000000001,
10358.640000000001,88.19,
10359.140000000001,87.03,
10359.640000000001,88.38000000000001,
10360.140000000001,90.94,
10360.640000000001,93.46000000000001,
10361.140000000001,96.12,
10361.640000000001,99.07000000000001,
10362.140000000001,100.83,
10362.640000000001,99.83,ANCC
10363.140000000001,95.89,ANCC
10363.640000000001,90.88000000000001,ANCC
10364.140000000001,86.95,ANCC
10364.640000000001,84.33,ANCC
10365.140000000001,82.72,ANCC
10365.640000000001,81.48,ANCC
10366.140000000001,78.22,ANCC
10366.640000000001,72.75,ANCC
10367.140000000001,68.92999999999999,ANCC
10367.640000000001,68.55,ANCC
10368.140000000001,70.67999999999999,ANCC
10368.640000000001,72.67999999999999,ANCC
10369.140000000001,71.78,ANCC
10369.640000000001,68.01,ANCC
10370.140000000001,64.6,ANCC
10370.640000000001,62.519999999999996,ANCC
10371.140000000001,59.06999999999999,ANCC
10371.640000000001,53.480000000000004,ANCC
10372.140000000001,49.56999999999999,ANCC
10372.640000000001,49.730000000000004,ANCC
10373.140000000001,51.03,ANCC
10373.640000000001,50.67999999999999,ANCC
10374.140000000001,50.33,ANCC
10374.640000000001,52.42999999999999,ANCC
10375.140000000001,57.56999999999999,ANCC
